Container_Number,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
201,"[27495674, 35271392]",44459.0,3123.0,46.0,98.79777777777775,86.75,76.66666666666667,541.0,477.0,14.0
202,"[44317668, 81553387]",44758.0,3496.0,34.0,99.46222222222222,97.11111111111111,56.66666666666666,242.0,104.0,26.0
203,"[81845234, 90571742]",39761.0,3175.0,59.0,88.35777777777778,88.19444444444444,98.33333333333331,5239.0,425.0,1.0
204,"[85119040, 74620619, 74404621]",44152.0,3529.0,48.0,98.11555555555556,98.0277777777778,80.0,848.0,71.0,12.0
205,"[62986822, 83417007]",43578.0,3290.0,39.0,96.84,91.38888888888889,65.0,1422.0,310.0,21.0
206,"[40029520, 89649059, 83455928]",44400.0,3176.0,59.0,98.66666666666669,88.22222222222223,98.33333333333331,600.0,424.0,1.0
207,"[20590854, 93855226]",44469.0,3539.0,39.0,98.82,98.30555555555556,65.0,531.0,61.0,21.0
208,"[27831698, 83389159]",43990.0,808.0,58.0,97.75555555555556,22.444444444444443,96.66666666666669,1010.0,2792.0,2.0
209,"[35219401, 42127697, 49091188]",44998.0,3305.0,48.0,99.99555555555555,91.80555555555556,80.0,2.0,295.0,12.0
210,"[38577486, 90427660]",44431.0,3291.0,40.0,98.73555555555556,91.41666666666669,66.66666666666666,569.0,309.0,20.0
