Container,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
149,"[16142340, 24807641, 27876465]",44544,3588,58,98.98666666666666,99.66666666666669,96.66666666666669,456,12,2
150,"[10166869, 14107510, 25786800]",44916,3506,42,99.81333333333332,97.38888888888889,70,84,94,18
151,"[13858897, 25566108, 26016653]",44602,2803,48,99.11555555555556,77.86111111111111,80,398,797,12
152,"[16405613, 18513108, 26050052]",40809,3568,51,90.68666666666668,99.11111111111111,85,4191,32,9
153,[27327974],37737,1564,60,83.86,43.44444444444445,100,7263,2036,0
154,"[16521560, 27351090]",44915,3300,13,99.81111111,91.66666666666666,21.666666666666668,85,300,47
155,"[24301961, 27382531, 28355376]",42308,3593,39,94.01777777777778,99.80555555555556,65,2692,7,21
156,"[10184275, 14511132, 27414683]",44970,3532,56,99.93333333333332,98.11111111111111,93.33333333333331,30,68,4
157,[28866388],19652,1324,60,43.67111111111111,36.77777777777778,100,25348,2276,0
158,"[17048916, 27015531, 29371410, 30024738]",43972,3592,47,97.71555555555555,99.77777777777776,78.33333333333333,1028,8,13
159,"[10484669, 29805559]",44863,2517,39,99.69555555555556,69.91666666666667,65,137,1083,21
160,"[10836781, 28290648, 31221761]",44361,3273,60,98.58,90.91666666666669,100,639,327,0
161,"[11120000, 12648926, 14361210]",44664,3144,56,99.25333333333334,87.33333333333333,93.33333333333331,336,456,4
162,"[19252186, 20463679, 24930756]",41057,3588,34,91.23777777777778,99.66666666666669,56.66666666666666,3943,12,26
163,"[15579840, 22679673, 27690227]",44715,2221,45,99.36666666666667,61.69444444444444,75,285,1379,15
164,"[27640601, 30873766]",44559,1425,60,99.02,39.58333333333333,100,441,2175,0
165,"[10906982, 18145836, 19777295, 20484720, 22907790]",43135,3597,57,95.85555555555555,99.91666666666669,95,1865,3,3
166,"[13290032, 23664583, 26550655]",44750,3379,35,99.44444444444444,93.86111111,58.333333333333336,250,221,25
167,"[19000819, 21701027]",44581,2105,43,99.06888888888888,58.47222222222223,71.66666666666667,419,1495,17
168,"[23473923, 25089708, 25381596]",44922,3386,40,99.82666666666668,94.05555555555556,66.66666666666666,78,214,20
